Row Labels,Sum of PRICE
Myaree,"$66,350,000"
Naval Base,"$1,408,000"
Nedlands,"$171,333,950"
Neerabup,"$6,188,000"
Nollamara,"$13,730,500"
Noranda,"$60,559,500"
North Beach,"$100,708,750"
North Coogee,"$54,520,800"
North Fremantle,"$86,903,500"
North Lake,"$82,012,000"
North Perth,"$63,719,000"
Northbridge,"$7,938,000"
Oakford,"$77,698,500"
Ocean Reef,"$86,590,150"
O'Connor,"$4,010,000"
Oldbury,"$20,028,793"
Orange Grove,"$33,506,500"
Orelia,"$45,419,965"
Osborne Park,"$22,487,000"
Padbury,"$51,936,600"
Palmyra,"$58,506,500"
Parkerville,"$91,871,450"
Parkwood,"$55,307,491"
Parmelia,"$31,584,050"
Pearsall,"$71,312,000"
Peppermint Grove,"$73,535,500"
Piara Waters,"$55,444,000"
Pickering Brook,"$11,529,250"
Port Kennedy,"$68,441,900"
Queens Park,"$47,169,500"
Quinns Rocks,"$81,768,202"
Redcliffe,"$70,357,200"
Ridgewood,"$75,348,100"
Riverton,"$63,398,999"
Rivervale,"$37,332,850"
Rockingham,"$38,326,201"
Roleystone,"$71,447,400"
Rossmoyne,"$139,400,832"
Safety Bay,"$45,588,500"
Salter Point,"$167,660,350"
Samson,"$70,889,250"
Sawyers Valley,"$60,100,450"
Scarborough,"$44,343,138"
Secret Harbour,"$95,562,500"
Serpentine,"$78,729,000"
Seville Grove,"$40,440,000"
Shelley,"$62,285,475"
Shenton Park,"$125,689,638"
Shoalwater,"$50,774,560"
Sinagra,"$79,931,640"
Singleton,"$72,968,358"
Sorrento,"$107,248,500"
South Fremantle,"$108,161,012"
South Guildford,"$98,804,200"
South Lake,"$66,874,857"
South Perth,"$57,809,500"
Southern River,"$76,464,666"
Spearwood,"$38,578,500"
St James,"$48,046,750"
Stirling,"$120,332,113"
Stoneville,"$83,539,000"
Stratton,"$61,106,169"
Subiaco,"$82,623,389"
Success,"$60,449,500"
Swan View,"$42,218,867"
Swanbourne,"$197,827,260"
Tapping,"$96,786,500"
The Vines,"$106,130,850"
Thornlie,"$40,988,500"
Treeby,"$1,190,000"
Trigg,"$165,977,458"
Tuart Hill,"$23,999,000"
Two Rocks,"$40,885,354"
Upper Swan,"$24,278,001"
Victoria Park,"$37,867,000"
Viveash,"$44,560,125"
Waikiki,"$52,562,000"
Walliston,"$36,174,500"
Wandi,"$53,830,500"
Wangara,"$1,375,000"
Wanneroo,"$73,024,284"
Warnbro,"$58,814,999"
Warwick,"$75,325,351"
Waterford,"$123,013,619"
Watermans Bay,"$136,979,700"
Wattle Grove,"$102,379,038"
Wattleup,"$14,894,166"
Wellard,"$41,332,473"
Welshpool,"$465,000"
Wembley,"$72,171,000"
Wembley Downs,"$126,819,526"
West Leederville,"$99,316,500"
West Perth,"$15,664,500"
West Swan,"$32,488,500"
Westminster,"$18,353,500"
Whitby,"$1,750,000"
White Gum Valley,"$74,649,499"
Willagee,"$54,932,750"
Willetton,"$43,217,388"
Wilson,"$44,377,718"
Winthrop,"$76,465,138"
Woodbridge,"$71,465,166"
Woodlands,"$103,944,488"
Woodvale,"$63,890,138"
Wooroloo,"$22,203,000"
Wungong,"$13,282,370"
Yanchep,"$46,986,700"
Yangebup,"$62,520,500"
Yokine,"$33,767,305"
Grand Total,"$21,441,295,427"
